epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4626,0.98906,6.49122,1.31584,0.13626,0.07152,0.00966,0.00417,1.29299,7.08688,1.31985,6.24e-06,6.24e-06,6.24e-06
2,80.6331,1.03909,5.94769,1.30136,0.1377,0.07971,0.01071,0.00436,1.2868,6.88617,1.30816,1.3762e-05,1.3762e-05,1.3762e-05
3,120.247,1.02179,5.31197,1.31678,0.09267,0.07971,0.01309,0.00455,1.30745,7.00128,1.30339,2.09751e-05,2.09751e-05,2.09751e-05
4,161.293,0.9305,5.03052,1.21316,0.13808,0.07971,0.01383,0.00518,1.294,7.03745,1.28301,2.78794e-05,2.78794e-05,2.78794e-05
5,203.139,0.95678,4.68387,1.27152,0.50012,0.06522,0.04962,0.01335,1.31414,6.83136,1.28144,3.44748e-05,3.44748e-05,3.44748e-05
6,244.243,0.91338,4.29465,1.2258,0.22729,0.07971,0.05214,0.01336,1.31772,6.62672,1.27584,4.07612e-05,4.07612e-05,4.07612e-05
7,284.686,0.76937,3.78356,1.12281,0.42333,0.09058,0.03407,0.01067,1.28012,6.15148,1.25449,4.67388e-05,4.67388e-05,4.67388e-05
8,325.498,0.85728,3.46898,1.1581,0.59617,0.0883,0.04473,0.0105,1.23549,5.83057,1.2367,5.24076e-05,5.24076e-05,5.24076e-05
9,365.848,0.86011,3.60345,1.19282,0.50266,0.10145,0.06178,0.03409,1.23439,5.4803,1.2333,5.77674e-05,5.77674e-05,5.77674e-05
10,405.951,0.74943,2.90377,1.12812,0.28491,0.19203,0.12086,0.09161,1.21003,5.18231,1.22599,6.28184e-05,6.28184e-05,6.28184e-05
11,446.345,0.74138,2.60929,1.09162,0.31476,0.13536,0.12126,0.09092,1.18653,4.91395,1.21272,6.75605e-05,6.75605e-05,6.75605e-05
12,486.498,0.72323,2.47406,1.0433,0.36395,0.1494,0.0985,0.07751,1.21233,4.73978,1.21965,7.19937e-05,7.19937e-05,7.19937e-05
13,526.961,0.7738,2.79286,1.15631,0.32,0.1558,0.10269,0.0823,1.20747,4.69289,1.20974,7.6118e-05,7.6118e-05,7.6118e-05
14,567.87,0.76122,2.29514,1.07575,0.54297,0.11155,0.11672,0.0929,1.22335,4.60009,1.21372,7.99335e-05,7.99335e-05,7.99335e-05
15,608.655,0.71803,2.17886,1.05825,0.55967,0.12116,0.12669,0.09965,1.23878,4.5147,1.21607,8.344e-05,8.344e-05,8.344e-05
16,648.938,0.69652,1.98567,1.05479,0.5059,0.12319,0.15386,0.12888,1.25273,4.44107,1.22478,8.66377e-05,8.66377e-05,8.66377e-05
17,689.265,0.64889,1.82291,1.00511,0.47163,0.15859,0.14513,0.12153,1.23595,4.30588,1.22552,8.95265e-05,8.95265e-05,8.95265e-05
18,730.158,0.68466,1.82408,1.05364,0.61906,0.11549,0.14105,0.11707,1.19224,4.23094,1.20975,9.21065e-05,9.21065e-05,9.21065e-05
19,771.07,0.69158,1.8811,1.06471,0.61333,0.1229,0.1539,0.123,1.15687,4.18814,1.19564,9.43775e-05,9.43775e-05,9.43775e-05
20,811.004,0.62209,1.78237,1.03136,0.60971,0.13662,0.15264,0.12245,1.16184,4.14985,1.1893,9.63397e-05,9.63397e-05,9.63397e-05
21,851.183,0.6033,1.61909,1.01363,0.6112,0.13632,0.15407,0.12331,1.18581,4.09657,1.19762,9.4224e-05,9.4224e-05,9.4224e-05
22,892.014,0.73854,1.84011,1.05765,0.60123,0.14493,0.16195,0.12938,1.1907,4.05529,1.19935,9.11352e-05,9.11352e-05,9.11352e-05
23,931.868,0.63413,1.52874,1.0464,0.61458,0.14076,0.16696,0.13475,1.19095,4.02459,1.19721,8.80464e-05,8.80464e-05,8.80464e-05
24,971.763,0.66601,1.5638,1.03198,0.6256,0.15521,0.17653,0.1415,1.20229,4.01576,1.20525,8.49576e-05,8.49576e-05,8.49576e-05
25,1012.03,0.71892,1.57171,1.06101,0.37545,0.17067,0.17417,0.14093,1.21286,4.01312,1.20809,8.18688e-05,8.18688e-05,8.18688e-05
26,1051.5,0.58781,1.40401,1.00721,0.37729,0.15799,0.16563,0.13433,1.23747,4.01996,1.21525,7.878e-05,7.878e-05,7.878e-05
27,1090.67,0.58446,1.29387,0.9853,0.44677,0.193,0.18131,0.14045,1.23206,4.03718,1.2068,7.56912e-05,7.56912e-05,7.56912e-05
28,1130.05,0.61734,1.3905,1.01211,0.48662,0.18397,0.17985,0.14211,1.22307,4.01787,1.20784,7.26024e-05,7.26024e-05,7.26024e-05
29,1169.62,0.55062,1.27099,0.97886,0.48941,0.19834,0.1763,0.13618,1.23521,4.00483,1.20876,6.95136e-05,6.95136e-05,6.95136e-05
30,1209.46,0.61097,1.32528,0.98994,0.49704,0.23799,0.17482,0.1348,1.23357,4.01145,1.19277,6.64248e-05,6.64248e-05,6.64248e-05
31,1249.02,0.53728,1.19672,0.95796,0.4878,0.22826,0.19828,0.15111,1.23567,4.01584,1.19382,6.3336e-05,6.3336e-05,6.3336e-05
32,1289.8,0.59776,1.20304,0.99193,0.47203,0.21377,0.18623,0.14086,1.19698,4.04034,1.16248,6.02472e-05,6.02472e-05,6.02472e-05
33,1331,0.60073,1.29941,0.99162,0.5063,0.17029,0.19088,0.14563,1.19752,4.06568,1.16235,5.71584e-05,5.71584e-05,5.71584e-05
34,1372.24,0.53818,1.11217,0.95259,0.50481,0.21925,0.1826,0.13931,1.19771,4.07976,1.16015,5.40696e-05,5.40696e-05,5.40696e-05
35,1414.06,0.56449,1.12143,0.97062,0.49963,0.2248,0.19341,0.14853,1.20874,4.06812,1.17146,5.09808e-05,5.09808e-05,5.09808e-05
36,1455,0.57437,1.10368,0.991,0.4523,0.24275,0.19377,0.14975,1.21743,4.03216,1.18017,4.7892e-05,4.7892e-05,4.7892e-05
37,1495.38,0.55511,1.17814,1.01252,0.44892,0.22101,0.19413,0.15033,1.22272,4.04048,1.18496,4.48032e-05,4.48032e-05,4.48032e-05
38,1536.41,0.55396,1.08185,0.96313,0.45424,0.22353,0.20164,0.15756,1.21606,4.03974,1.18344,4.17144e-05,4.17144e-05,4.17144e-05
39,1577.2,0.54088,1.09538,0.95969,0.45466,0.22176,0.20229,0.15821,1.20728,4.03265,1.18149,3.86256e-05,3.86256e-05,3.86256e-05
40,1618.14,0.52452,1.04991,0.9445,0.41944,0.2299,0.20258,0.15869,1.20461,4.00156,1.18466,3.55368e-05,3.55368e-05,3.55368e-05
41,1659.46,0.44749,1.31113,0.92531,0.43394,0.18841,0.19765,0.16516,1.20353,4.03672,1.18393,3.2448e-05,3.2448e-05,3.2448e-05
42,1700.34,0.49997,1.40156,0.90374,0.44315,0.19989,0.19902,0.15979,1.20856,4.04973,1.18577,2.93592e-05,2.93592e-05,2.93592e-05
43,1740.65,0.4353,1.11732,0.9173,0.40698,0.20064,0.19668,0.15845,1.21773,4.04921,1.18966,2.62704e-05,2.62704e-05,2.62704e-05
44,1781.36,0.44485,1.24592,0.90429,0.41696,0.2052,0.20419,0.16517,1.22492,4.0932,1.19373,2.31816e-05,2.31816e-05,2.31816e-05
45,1821.32,0.44643,1.14097,0.88566,0.46484,0.20234,0.20444,0.16573,1.2431,4.09635,1.20614,2.00928e-05,2.00928e-05,2.00928e-05
46,1861.46,0.4404,1.13603,0.88896,0.46967,0.19928,0.19809,0.16159,1.23461,4.09128,1.20408,1.7004e-05,1.7004e-05,1.7004e-05
47,1902.06,0.44064,1.22043,0.91975,0.47577,0.19928,0.19411,0.15886,1.24097,4.09933,1.20619,1.39152e-05,1.39152e-05,1.39152e-05
48,1942.19,0.43614,1.14914,0.88736,0.52285,0.20804,0.19518,0.16284,1.21086,4.1092,1.18355,1.08264e-05,1.08264e-05,1.08264e-05
49,1982.05,0.42585,1.06149,0.88471,0.52901,0.16472,0.194,0.16146,1.20063,4.10878,1.17816,7.7376e-06,7.7376e-06,7.7376e-06
50,2021.76,0.4228,1.0562,0.86883,0.5353,0.16784,0.1905,0.15846,1.21123,4.10898,1.18445,4.6488e-06,4.6488e-06,4.6488e-06
